Date,Index_Close,Index_return
24-09-2020,10805.5498,-0.029312272
25-09-2020,11050.25,0.022645788
28-09-2020,11227.5498,0.016044868
29-09-2020,11222.40039,-0.000458641
30-09-2020,11247.5498,0.002241001
01-10-2020,11416.9502,0.015061093
05-10-2020,11503.34961,0.007567644
06-10-2020,11662.40039,0.013826475
07-10-2020,11738.84961,0.006555187
08-10-2020,11834.59961,0.008156677
09-10-2020,11914.2002,0.00672609
12-10-2020,11930.9502,0.001405885
13-10-2020,11934.5,0.000297529
14-10-2020,11971.0498,0.003062533
15-10-2020,11680.34961,-0.024283601
16-10-2020,11762.4502,0.007028949
19-10-2020,11873.0498,0.00940277
20-10-2020,11896.7998,0.002000329
21-10-2020,11937.65039,0.003433746
22-10-2020,11896.4502,-0.003451282
23-10-2020,11930.34961,0.00284954
26-10-2020,11767.75,-0.013629073
27-10-2020,11889.40039,0.010337608
28-10-2020,11729.59961,-0.013440609
29-10-2020,11670.7998,-0.005012942
30-10-2020,11642.40039,-0.002433373
02-11-2020,11669.15039,0.002297636
03-11-2020,11813.5,0.01237019
04-11-2020,11908.5,0.008041647
05-11-2020,12120.2998,0.017785599
06-11-2020,12263.5498,0.011819015
09-11-2020,12461.0498,0.016104636
10-11-2020,12631.09961,0.013646507
11-11-2020,12749.15039,0.009346042
12-11-2020,12690.7998,-0.004576822
13-11-2020,12719.9502,0.00229697
17-11-2020,12874.2002,0.01212662
18-11-2020,12938.25,0.004975051
19-11-2020,12771.7002,-0.012872669
20-11-2020,12859.0498,0.006839309
23-11-2020,12926.4502,0.005241475
24-11-2020,13055.15039,0.009956345
25-11-2020,12858.40039,-0.01507068
26-11-2020,12987,0.010001214
27-11-2020,12968.9502,-0.001389836
01-12-2020,13109.0498,0.010802695
02-12-2020,13113.75,0.000358546
03-12-2020,13133.90039,0.001536585
04-12-2020,13258.5498,0.009490662
07-12-2020,13355.75,0.007331133
08-12-2020,13392.9502,0.002785332
09-12-2020,13529.09961,0.010165752
10-12-2020,13478.2998,-0.003754855
11-12-2020,13513.84961,0.002637559
14-12-2020,13558.15039,0.003278176
15-12-2020,13567.84961,0.000715379
16-12-2020,13682.7002,0.008464907
17-12-2020,13740.7002,0.004238929
18-12-2020,13760.5498,0.001444585
21-12-2020,13328.40039,-0.031404953
22-12-2020,13466.2998,0.010346284
23-12-2020,13601.09961,0.010010159
24-12-2020,13749.25,0.01089253
28-12-2020,13873.2002,0.009015051
29-12-2020,13932.59961,0.004281594
30-12-2020,13981.9502,0.003542095
31-12-2020,13981.75,-1.43181E-05
01-01-2021,14018.5,0.002628426
04-01-2021,14132.90039,0.008160673
05-01-2021,14199.5,0.004712381
06-01-2021,14146.25,-0.003750132
07-01-2021,14137.34961,-0.00062917
08-01-2021,14347.25,0.014847224
11-01-2021,14484.75,0.009583718
12-01-2021,14563.4502,0.005433314
13-01-2021,14564.84961,9.60908E-05
14-01-2021,14595.59961,0.002111247
15-01-2021,14433.7002,-0.011092344
18-01-2021,14281.2998,-0.01055865
19-01-2021,14521.15039,0.016794731
20-01-2021,14644.7002,0.008508266
21-01-2021,14590.34961,-0.00371128
22-01-2021,14371.90039,-0.014972172
25-01-2021,14238.90039,-0.009254169
27-01-2021,13967.5,-0.019060488
28-01-2021,13817.5498,-0.01073565
29-01-2021,13634.59961,-0.013240422
01-02-2021,14281.2002,0.047423511
